NeuronID,SampleID,Neuron_Type,Soma_Region,hemisphere,subregion,soma_x,soma_y,soma_z
001.swc,251637,ITs,CR_Ial,right,agranular,192.7036,213.8664,83.828
002.swc,251637,ITi,CR_Ial,right,agranular,192.9288,213.9036,83.6288
007.swc,251637,ITs,CR_Ial,right,agranular,190.1656,216.3204,82.2312
008.swc,251637,CT,CR_Ial,right,agranular,189.83120000000002,215.7388,82.2672
009.swc,251637,CT,CR_Ial,right,agranular,189.8088,216.3748,82.006
012.swc,251637,ITi,CR_Iai,right,agranular,189.0664,217.4512,82.4528
013.swc,251637,ITs,CR_Iai,right,agranular,187.556,216.86,81.006
014.swc,251637,PT,CR_Ial,right,agranular,188.5892,216.0316,80.448
015.swc,251637,ITs,CR_Ial,right,agranular,188.548,216.15279999999998,79.90480000000001
016.swc,251637,ITi,CR_Iai,right,agranular,189.2612,216.88,80.504
018.swc,251637,ITi,CR_Ial,right,agranular,191.24960000000002,215.19639999999998,81.3672
039.swc,251637,ITi,CR_Ial,right,agranular,192.4532,216.3524,87.5128
042.swc,251637,ITi,CR_Iai,right,agranular,189.7132,218.318,88.396
044.swc,251637,ITi,CR_Ial,right,agranular,190.7284,214.1356,81.4728
045.swc,251637,ITs,CR_Ial,right,agranular,189.38639999999998,212.7516,81.99119999999999
046.swc,251637,ITs,CR_Ial,right,agranular,189.052,212.22560000000001,81.82719999999999
047.swc,251637,ITi,CR_Ial,right,agranular,188.9412,213.63279999999997,81.5728
048.swc,251637,ITi,CR_Ial,right,agranular,188.35320000000002,214.7216,80.4992
049.swc,251637,ITi,CR_Ial,right,agranular,188.00039999999998,214.982,80.4592
050.swc,251637,ITi,CR_Ial,right,agranular,188.4716,214.924,81.5312
051.swc,251637,ITi,CR_Ial,right,agranular,187.59560000000002,215.14679999999998,82.30080000000001
052.swc,251637,ITs,CR_Iai,right,agranular,186.90079999999998,216.7568,82.284
053.swc,251637,ITi,CR_Iai,right,agranular,188.15879999999999,216.354,84.166
054.swc,251637,ITs,CR_Ial,right,agranular,189.0624,216.082,83.952
055.swc,251637,ITi,CR_Ial,right,agranular,190.324,215.81279999999998,84.92
056.swc,251637,ITi,CR_Ial,right,agranular,190.0204,216.1248,84.9848
057.swc,251637,ITs,CR_Ial,right,agranular,190.1828,213.3236,85.566
058.swc,251637,ITi,CR_Ial,right,agranular,188.80679999999998,213.83679999999998,86.386
059.swc,251637,ITi,CR_Ial,right,agranular,187.5704,212.9916,84.6152
060.swc,251637,ITi,CR_Ial,right,agranular,187.77960000000002,212.3628,85.876
061.swc,251637,ITs,CR_Ial,right,agranular,186.6432,213.4904,85.332
062.swc,251637,ITi,CR_Iai,right,agranular,186.89839999999998,213.6072,85.48
063.swc,251637,ITi,CR_Iai,right,agranular,186.9016,214.944,84.944
064.swc,251637,ITi,CR_Ial,right,agranular,191.21439999999998,214.9556,88.454
065.swc,251637,ITi,CR_Ial,right,agranular,190.89520000000002,215.12320000000003,88.18480000000001
066.swc,251637,PT,CR_Ial,right,agranular,190.622,213.8964,89.66080000000001
067.swc,251637,ITi,CR_Ial,right,agranular,189.1192,213.2964,88.9632
068.swc,251637,ITi,CR_Ial,right,agranular,188.6504,212.22039999999998,88.7488
069.swc,251637,ITi,CR_Ial,right,agranular,190.112,213.49120000000002,89.292
071.swc,251637,ITi,CR_Ial,right,agranular,188.724,213.41039999999998,91.024
072.swc,251637,ITi,CR_Ial,right,agranular,187.062,212.5496,91.956
073.swc,251637,ITi,CR_Ial,right,agranular,189.1536,213.4304,83.7672
074.swc,251637,ITi,CR_Ial,right,agranular,188.1564,213.9212,83.31519999999999
075.swc,251637,ITi,CR_Ial,right,agranular,188.27679999999998,213.6736,82.794
076.swc,251637,ITi,CR_Ial,right,agranular,188.7824,214.21720000000002,83.5872
077.swc,251637,ITi,CR_Ial,right,agranular,188.57160000000002,214.57520000000002,83.582
078.swc,251637,ITi,CR_Ial,right,agranular,188.36,214.9868,83.414
080.swc,251637,ITi,CR_Ial,right,agranular,190.2424,216.424,80.498
081.swc,251637,ITi,CR_Ial,right,agranular,189.4536,214.73,84.9808
082.swc,251637,ITi,CR_Ial,right,agranular,186.8316,214.27079999999998,80.6952
